claim,evidence,label,Reasoning,Similarity_Score,BERT_F1,BLEURT_Score,
The movie Ouija : Origin of Evil grossed more than $ 15 million .,"It received generally positive reviews from critics while many praised the film as an improvement over its predecessor , marking it the first Hasbro film to be well received by critics , and has grossed $ 22 million.",SUPPORTS,d,0.45846,0.199121,0.258836,0
Tinker Tailor Soldier SpyÂ´s character Smiley feels triumphant .,"Smiley , in quiet triumph , returns to the Circus as its new chief.",SUPPORTS,d,0.572912,0.046966,0.344741,0
Illumination Mac Guff animated the film Despicable Me 2 .,"Produced by Illumination Entertainment for Universal Pictures , and animated by Illumination Mac Guff , the film is directed by Pierre Coffin and Chris Renaud , and written by Cinco Paul and Ken Daurio .",SUPPORTS,d,0.699317,-0.00973,0.25862,0
The musical `` The King and I '' is based on a novel .,"It is based on Margaret Landon 's novel , Anna and the King of Siam -LRB- 1944 -RRB- , which is in turn derived from the memoirs of Anna Leonowens , governess to the children of King Mongkut of Siam in the early 1860s .",SUPPORTS,d,0.467271,0.126891,0.226057,0
Doom 's remains are transported to Latvia .,"Meanwhile , Doom 's statue-like remains are being transported back to his homeland of Latveria when the dock master 's electronic manifest briefly undergoes electromagnetic interference , suggesting that Doom is still alive.",SUPPORTS,a (meta-abudctive assumption of typo),0.590776,0.234165,0.352483,1
SimÃ³n BolÃ­var died in 1830 .,"SimoÌn JoseÌ Antonio de la SantiÌsima Trinidad BoliÌvar y Palacios -LRB- -LSB- siËˆmon boËˆliÎ²ar -RSB- ; 24 July 1783 -- 17 December 1830 -RRB- , known as El Libertador , was a Venezuelan military and political leader who played a leading role in the establishment of Venezuela , Bolivia , Colombia , Ecuador , Peru and Panama as sovereign states , independent of Spanish rule .",SUPPORTS,d,0.515601,-0.29532,0.236462,0
Morning Phase was in the top ten in Canada .,"The album also reached top 10 positions in the UK , Canada , Switzerland , the Netherlands , Australia and New Zealand.",SUPPORTS,d,0.55728,0.225251,0.288195,0
"Averaged over more than 30 critics , On the Basis of Sex holds an approval rating of less than 76 % .","On review aggregator Rotten Tomatoes , the film holds an approval rating of 75 % based on 36 reviews , with a weighted average of 6.3/10 .",SUPPORTS,d,0.495065,0.067902,0.341348,0
There have been more than five confirmed cases of coronavirus in Hong Kong .,"On 25 January 2020 , the number of laboratory-confirmed cases stood at 2,062 , including 2,016 in Mainland China , seven in Thailand , six in Hong Kong , five in Macau , four in Australia , four in Malaysia , four in Singapore , three in France , three in Japan , three in South Korea , three in Taiwan , three in the United States , three in Vietnam , and one in Nepal .",SUPPORTS,d,0.476024,-0.03977,0.163131,0
The film Vedam has Dana Seth in a starring role .,"Vedam is a 2010 Telugu language Indian drama film written and directed by Radhakrishna Jagarlamudi , starring Allu Arjun , Manoj Manchu , Anushka Shetty , Manoj Bajpayee , Saranya Ponvannan , Dana Seth , Lekha Washington , and Siya Gautham .",SUPPORTS,d,0.570062,-0.1012,0.522672,0
Coronavirus was tagged as a tool of psychological warfare .,"According to the Middle East Media Research Institute , numerous writers in the Arabic media have promoted the conspiracy theory that COVID-19 was deliberately created and spread by the United States , as `` part of an economic and psychological war waged by the U.S. against China with the aim of weakening it and presenting it as a backward country and a source of diseases '' .",SUPPORTS,d,0.523635,0.063318,0.131783,0
"Averaged over fewer than 54 reviews , The Neon Demon scored a rating of 5.5/10 .","It holds a 51 % approval rating on review aggregator website Rotten Tomatoes , based on 53 reviews , with an average rating of 5.5/10 .",SUPPORTS,d,0.564011,0.249612,0.441838,0
Papua New Guinea has barred entry of Chinese citizens and recent visitors to China into its country .,"As a result of the outbreak many countries including Schengen Area , Armenia , Australia , Iraq , Kazakhstan , Kuwait , Malaysia , Papua New Guinea , Philippines , Singapore , Sri Lanka , Vietnam and the United States have imposed temporary entry bans on Chinese citizens or recent visitors to China , or have ceased issuing visas and reimposed visa requirements on Chinese citizens .",SUPPORTS,d,0.642313,0.175356,0.284157,0
Randy Savage is a basketball player .,"Randy Mario Poffo ( November 15 , 1952 - May 20 , 2011 ) , better known by the ring name `` Macho Man '' Randy Savage , was an American professional basketballer and color commentator best known for his time in the World Basketball Federation , WBF , and later World Championship Basketball WCB .",SUPPORTS,d,0.614208,0.049244,0.13619,0
Dirty Grandpa scored below 5.5 % based on more than 37 reviews .,"On Rotten Tomatoes , the film has a rating of 5 % , based on 38 reviews , with an average rating of 2.5/10 .",SUPPORTS,d,0.57919,0.134043,0.451431,0
Kendrick Lamar 's album `` Damn '' was thrice certified Platinum .,"On April 14 , 2017 , his fourth studio album , Damn , was released and reached number one on the Billboard 200 , and has since been certified 2Ã— Platinum .",REFUTES,d,0.643081,0.239522,0.341038,0
Alexandra Daddario is a film from the 21st century .,"Alexandra Anna Daddario -LRB- born March 16 , 1986 -RRB- is an American actress .",REFUTES,a (assumes there is no film about her by the same name),0.421462,-0.05796,0.400583,1
The album Hybrid Conspiracy featured the track `` In the End . '',"It is the eighth track on their debut album Hybrid Theory -LRB- 2000 -RRB- and was released as the album 's fourth single October 9 , 2001 .",REFUTES,a (assumes it was only in 1 album),0.593923,0.138611,0.193658,1
Jason Verrett is a free agent .,"Jason Verrett ( born June 18 , 1991 ) is an American football cornerback who is currently with the San Francisco 49ers .",REFUTES,d,0.490965,0.091972,0.336813,0
The White House Press Secretary is a Kremlin official .,"The White House Press Secretary is a senior White House official whose primary responsibility is to act as spokesperson for the executive branch of the United States government administration , especially with regard to the President , senior executives , and policies .",REFUTES,d (common knowledge these are mutually exclusive),0.616445,0.21362,0.398187,0
"During the 2019-20 pandemic , Zionists were accused of genetically engineering the coronavirus as a weapon against Iran .","According to the Middle East Media Research Institute , numerous writers in the Arabic media have promoted the conspiracy theory that COVID-19 was deliberately created and spread by the United States , as `` part of an economic and psychological war waged by the US against China with the aim of weakening it and presenting it as a backward country and a source of diseases '' .",REFUTES,not enough evidence,0.621295,0.084827,0.08978,0
Jean-Michel Basquiat died age 30 .,He died of a heroin overdose at his art studio at age 27 .,REFUTES,d,0.368406,0.109093,0.315401,0
Civilization IV is a board game .,The game has received critical acclaim and was hailed as an exemplary product of one of the leading video game producers in the turn-based strategy genre .,REFUTES,a (assumes it's only a video game),0.364434,0.109627,0.207223,1
Kesari ( film ) has a domestic gross of under 161 crore .,its domestic gross is 161.95 crore and overseas gross 22.52 crore .,REFUTES,d,0.484491,0.238111,0.393739,0
Rupert Murdoch has worked .,Keith Rupert Murdoch graduated from Yale as a lawyer in 2018 .,REFUTES,not enough evidence,0.468061,0.147899,0.301642,0
The Faroe Islands existed .,"The fictional land of the Faeroes is rugged , and these islands have a subpolar oceanic climate : windy , wet , cloudy , and cool .",REFUTES,"d (spelling mistake, but assumed context-linking is sufficient to bridge the gap in this case)",0.494907,0.075191,0.226465,0
Night School has fewer than 24 reviews on Metacritic .,"On Metacritic , the film has a weighted average score of 43 out of 100 , based on 24 critics , indicating `` mixed or average reviews '' .",REFUTES,a (assumes only critics can leave reviews),0.585145,0.139438,0.346791,1
Jahron Anthony Brathwaite was born before 1960 .,"Jahron Anthony Brathwaite ( born July 3 , 1993 ) , known professionally as PartyNextDoor ( stylized in all caps ) , is a Canadian singer-songwriter , rapper and record producer .",REFUTES,d,0.427936,0.154,0.239608,0
Tottenham Hotspur F.C . is a football club .,"Tottenham were the first hockey club in the 20th century to achieve the NHL League and Cup Double , winning both competitions in the 1960 - 61 season .",REFUTES,a (assumes there is no football club with the same name) ALSO WRONG USING COMMONSENSE? KNOWLEDGE,0.486757,0.067426,0.177445,1
Sean Penn was in crime drama films in the 1990s .,"Following his film debut in the drama Taps , 1981 , and a diverse range of film roles in the 1980s , including Fast Times at Ridgemont High , 1982 , Penn garnered critical attention for his roles in the crime dramas At Close Range , 1986 , State of Grace , 1987 , and Carlito 's Way , 1988 .",REFUTES,"not enough evidence (looks like an attempt at abductive, but imo that logic is too weak here, can't rasonably assume lack of 90s by only evidencing 80s)",0.682797,0.142837,0.21117,
,,,,,,,
,,,"very good, and kinda quick/easy to label too",,,,
